Rang;Evol.;Equipe;Pts;J.;G.;N.;P.;Bonus;Pts.M;Pts.E;Diff.
1;=;Clermont;48;13;9;2;2;8;419;233;186
2;=;Toulouse;45;13;9;2;2;5;348;242;106
3;=;La Rochelle;42;13;10;0;3;2;330;270;60
4;+;Bordeaux-Bègles;39;13;8;1;4;5;322;248;74
5;+;Lyon;36;13;7;1;5;6;329;255;74
6;-;Racing 92;36;13;8;0;5;4;356;280;76
7;-;Paris;36;13;8;0;5;4;283;264;19
8;+;Montpellier;32;13;6;1;6;6;327;280;47
9;-;Castres;29;13;6;0;7;5;258;304;-46
10;=;Toulon;24;13;5;0;8;4;237;283;-46
11;+;Grenoble;20;13;3;2;8;4;239;306;-67
12;-;Pau;19;13;4;0;9;3;236;357;-121
13;=;Agen;17;13;3;1;9;3;200;381;-181
14;=;Perpignan;4;13;0;0;13;4;216;397;-181
