Club;Pts;Mat.;Vict.;Nuls;Def.;B.O.;B.D.;+;-;Diff.;Pts Brit.
Clermont;52;14;10;2;2;6;2;463;252;211;24
Toulouse;49;14;10;2;2;4;1;375;262;113;21
Lyon;40;14;8;1;5;5;1;354;269;85;16
La Rochelle;42;14;10;0;4;2;0;349;314;35;14
Paris;41;14;9;0;5;3;2;310;272;38;13
Bordeaux-Bègles;39;14;8;1;5;3;2;345;288;57;11
Castres;33;14;7;0;7;2;3;274;310;-36;9
Racing 92;40;14;9;0;5;3;1;378;293;85;8
Montpellier;32;14;6;1;7;2;4;341;305;36;0
Pau;24;14;5;0;9;1;3;276;380;-104;-4
Toulon;24;14;5;0;9;3;1;250;305;-55;-4
Grenoble;20;14;3;2;9;0;4;245;322;-77;-8
Agen;17;14;3;1;10;0;3;220;408;-188;-11
Perpignan;4;14;0;0;14;0;4;224;424;-200;-24
